Spectrometer
Copyright © Kvant 2018. All rights reserved.

Date: Monday, March 16, 2026 11:16:29 AM
Source image name: .bmp
Source image [pixels]: 1280 x 720
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 360 - 380

Spectrum range [nm]: 374.4 - 925.1

Chart Points:

Wave Length [nm]	Intensity [a.u.]
521.7	14.5
522.1	14.9
522.5	14.6
523.0	14.0
523.4	13.6
523.8	13.0
524.2	13.0
524.7	13.4
525.1	14.6
525.5	15.0
526.0	14.8
526.4	14.8
526.8	14.7
527.3	14.9
527.7	15.0
528.1	15.3
528.6	15.7
529.0	15.9
529.4	16.7
529.8	16.1
530.3	16.4
530.7	15.9
531.1	16.2
531.6	16.4
532.0	16.8
532.4	17.1
532.9	17.3
533.3	17.5
533.7	17.6
534.2	18.1
534.6	19.3
535.0	20.2
535.4	21.4
535.9	21.7
536.3	22.4
536.7	22.4
537.2	23.3
537.6	23.4
538.0	24.2
538.5	24.6
538.9	25.0
539.3	25.2
539.8	28.3
540.2	28.5
540.6	29.5
541.0	29.8
541.5	31.7
541.9	32.0
542.3	34.2
542.8	34.3
543.2	38.3
543.6	38.3
544.1	40.7
544.5	41.2
544.9	44.0
545.3	45.1
545.8	47.1
546.2	47.8
546.6	55.1
547.1	55.7
547.5	58.7
547.9	60.1
548.4	65.0
548.8	66.6
549.2	72.5
549.7	73.1
550.1	79.2
550.5	81.5
550.9	88.8
551.4	90.4
551.8	95.1
552.2	96.8
552.7	101.9
553.1	104.3
553.5	114.4
554.0	117.1
554.4	121.9
554.8	123.6
555.3	127.0
555.7	128.9
556.1	134.9
556.5	137.4
557.0	140.9
557.4	141.6
557.8	144.6
558.3	146.4
558.7	149.0
559.1	150.8
559.6	152.3
560.0	152.9
560.4	156.1
560.8	156.2
561.3	156.6
561.7	156.9
562.1	157.4
562.6	157.5
563.0	157.9
563.4	157.9
563.9	157.7
564.3	157.7
564.7	157.5
565.2	157.7
565.6	156.7
566.0	157.2
566.4	156.7
566.9	156.7
567.3	154.4
567.7	154.4
568.2	153.5
568.6	153.3
569.0	151.3
569.5	150.7
569.9	147.7
570.3	147.5
570.8	142.7
571.2	142.1
571.6	137.2
572.0	136.3
572.5	131.4
572.9	130.9
573.3	128.7
573.8	128.4
574.2	122.6
574.6	121.9
575.1	118.3
575.5	117.3
575.9	112.1
576.3	112.0
576.8	105.8
577.2	105.8
577.6	99.6
578.1	98.8
578.5	91.9
578.9	91.4
579.4	86.9
579.8	87.1
580.2	85.4
580.7	85.8
581.1	89.1
581.5	89.1
581.9	92.4
582.4	92.4
582.8	98.6
583.2	98.2
583.7	104.8
584.1	104.8
584.5	108.8
585.0	108.4
585.4	110.5
585.8	109.5
586.3	109.4
586.7	108.5
587.1	107.8
587.5	107.5
588.0	109.1
588.4	108.2
588.8	107.4
589.3	105.9
589.7	105.1
590.1	104.4
590.6	103.9
591.0	103.9
591.4	102.1
591.9	101.5
592.3	98.9
592.7	97.3
593.1	94.2
593.6	92.6
594.0	90.4
594.4	89.9
594.9	89.0
595.3	88.8
595.7	88.8
596.2	88.0
596.6	87.6
597.0	86.8
597.4	86.5
597.9	86.1
598.3	84.7
598.7	84.2
599.2	81.9
599.6	80.6
600.0	78.1
600.5	77.2
600.9	75.4
601.3	75.1
601.8	74.6
602.2	74.4
602.6	72.9
603.0	72.3
603.5	69.8
603.9	69.0
604.3	65.8
604.8	65.7
605.2	63.0
605.6	61.7
606.1	58.0
606.5	57.3
606.9	55.4
607.4	55.4
607.8	54.0
608.2	53.2
608.6	53.2
609.1	53.1
609.5	52.4
609.9	51.8
610.4	50.0
610.8	49.4
611.2	48.4
611.7	47.9
612.1	46.4
612.5	46.2
612.9	45.1
613.4	44.5
613.8	43.6
614.2	43.3
614.7	42.3
615.1	42.3
615.5	39.9
616.0	39.7
616.4	38.2
616.8	37.7
617.3	36.0
617.7	35.5
618.1	33.6
618.5	33.1
619.0	32.1
619.4	32.2
619.8	31.3
620.3	31.3
620.7	30.7
621.1	30.7
621.6	30.4
622.0	30.2
622.4	30.7
622.9	30.6
623.3	29.5
623.7	29.2
624.1	27.6
624.6	27.4
625.0	25.9
625.4	25.8
625.9	23.5
626.3	23.4
626.7	23.4
627.2	23.4
627.6	24.1
628.0	24.5
628.4	25.9
628.9	26.2
629.3	25.7
629.7	25.5
630.2	24.3
630.6	23.8
631.0	21.5
631.5	20.9
631.9	19.3
632.3	19.1
632.8	17.5
633.2	17.5
633.6	17.5
634.0	17.6
634.5	18.6
634.9	18.8
635.3	19.5
635.8	19.6
636.2	19.7
636.6	19.3
637.1	18.4
637.5	17.6
637.9	17.1
638.4	17.5
638.8	18.3
639.2	18.8
639.6	19.6
640.1	19.0
640.5	18.2
640.9	17.8
641.4	17.7
641.8	18.0
642.2	18.8
642.7	19.3
643.1	17.6
643.5	17.3
644.0	16.6
644.4	16.1
644.8	15.7
645.2	15.5
645.7	15.6
646.1	15.6
646.5	14.5
647.0	15.2
647.4	16.2
647.8	16.6
648.3	17.0
648.7	16.7
649.1	16.3
649.5	16.0
650.0	15.3
650.4	15.1
650.8	14.7
651.3	14.3
651.7	13.9
652.1	13.4
652.6	13.1
653.0	13.0
653.4	13.2
653.9	12.8
654.3	12.6
654.7	12.3
655.1	12.4
655.6	12.6
656.0	12.8
656.4	13.2
656.9	17.7
657.3	17.7
657.7	17.3
658.2	17.5
658.6	16.9
659.0	16.9
659.5	16.8
659.9	16.8
660.3	17.0
660.7	16.9
661.2	16.3
661.6	16.0
662.0	15.0
662.5	14.9
662.9	15.0
663.3	15.0
663.8	14.3
664.2	14.3
664.6	14.4
665.0	14.4
665.5	14.2
665.9	14.0
666.3	13.6
666.8	13.5
667.2	14.2
667.6	14.2
668.1	14.2
668.5	14.2
668.9	14.3
669.4	14.3
669.8	14.3
670.2	14.3
670.6	15.6
671.1	15.3
671.5	14.5
671.9	13.8
672.4	13.2
672.8	13.3
673.2	14.0
673.7	14.1
674.1	14.7
674.5	14.8
675.0	15.3
675.4	15.3
675.8	15.9
676.2	15.9
676.7	16.3
677.1	16.2
677.5	17.9
678.0	17.5
678.4	16.7
678.8	16.4
679.3	15.6
679.7	15.7
680.1	15.7
680.5	16.0
681.0	17.8
681.4	17.4
681.8	17.0
682.3	16.5
682.7	16.2
683.1	16.2
683.6	16.5
684.0	16.5
684.4	13.5
684.9	13.4
685.3	13.2
685.7	13.1
686.1	12.7
686.6	12.5
687.0	12.5
687.4	12.4
687.9	13.5
688.3	13.8
688.7	14.1
689.2	14.6
689.6	15.0
690.0	14.9
690.5	14.9
690.9	14.6
691.3	14.7
691.7	14.9
692.2	14.8
692.6	14.9
693.0	14.8
693.5	14.7
693.9	14.3
694.3	14.1
694.8	15.5
695.2	15.6
695.6	15.2
696.0	15.1
696.5	14.9
696.9	15.1
697.3	15.7
697.8	16.2
698.2	18.0
698.6	17.5
699.1	16.6
699.5	15.7
699.9	14.8
700.4	14.3
700.8	14.1
701.2	14.0
701.6	14.5
702.1	14.6
702.5	14.5
702.9	14.7
703.4	15.0
703.8	15.0
704.2	15.2
704.7	15.2
705.1	13.0
705.5	13.0
706.0	12.9
706.4	12.9
706.8	12.8
707.2	12.8
707.7	12.7
708.1	12.7
708.5	13.6
709.0	13.6
709.4	13.2
709.8	12.7
710.3	12.7
710.7	13.1
711.1	13.4
711.6	13.4
712.0	14.9
712.4	15.1
712.8	15.3
713.3	14.3
713.7	13.1
714.1	12.3
714.6	12.6
715.0	13.0
715.4	13.0
715.9	12.8
716.3	12.6
716.7	12.5
717.1	12.7
717.6	13.0
718.0	13.7
718.4	13.9
718.9	14.9
719.3	14.0
719.7	13.3
720.2	13.3
720.6	14.4
721.0	15.0
721.5	15.2
721.9	14.7
722.3	14.6
722.7	14.6
723.2	14.0
723.6	13.9
724.0	14.1
724.5	14.6
724.9	15.3
725.3	15.7
725.8	15.7
726.2	15.1
726.6	14.1
727.1	13.3
727.5	12.8
727.9	12.8
728.3	12.8
728.8	13.3
729.2	14.0
729.6	13.9
730.1	13.5
730.5	13.0
730.9	13.0
731.4	13.2
731.8	13.1
732.2	13.3
732.6	14.1
733.1	13.9
733.5	13.4
733.9	12.6
734.4	12.3
734.8	11.7
735.2	11.5
735.7	11.5
736.1	12.1
736.5	12.6
737.0	13.4
737.4	13.9
737.8	14.0
738.2	13.6
738.7	13.1
739.1	12.7
739.5	13.6
740.0	13.6
740.4	13.4
740.8	13.1
741.3	12.8
741.7	13.0
742.1	13.5
742.6	14.0
743.0	14.2
743.4	13.7
743.8	13.0
744.3	12.4
744.7	12.3
745.1	13.0
745.6	13.7
746.0	14.2
746.4	13.2
746.9	13.0
747.3	12.6
747.7	12.2
748.1	11.8
748.6	11.4
749.0	11.2
749.4	10.9
749.9	11.6
750.3	11.6
750.7	12.5
751.2	12.9
751.6	13.5
752.0	13.9
752.5	14.4
752.9	14.5
753.3	16.0
753.7	15.5
754.2	14.2
754.6	13.4
755.0	13.0
755.5	13.0
755.9	13.1
756.3	13.5
756.8	12.1
757.2	12.7
757.6	13.7
758.1	13.8
758.5	13.9
758.9	14.0
759.3	14.0
759.8	13.7
760.2	13.8
760.6	13.9
761.1	13.9
761.5	14.2
761.9	14.3
762.4	14.4
762.8	14.2
763.2	14.2
763.7	14.0
764.1	13.2
764.5	12.4
764.9	12.0
765.4	11.8
765.8	12.1
766.2	12.8
766.7	13.3
767.1	13.3
767.5	13.3
768.0	13.2
768.4	13.2
768.8	12.9
769.2	12.8
769.7	13.0
770.1	13.1
770.5	14.4
771.0	13.6
771.4	13.2
771.8	12.6
772.3	13.3
772.7	13.9
773.1	15.3
773.6	16.1
774.0	14.5
774.4	14.3
774.8	14.0
775.3	13.5
775.7	12.8
776.1	12.3
776.6	11.7
777.0	11.5
777.4	13.3
777.9	13.3
778.3	13.3
778.7	13.3
779.2	13.3
779.6	13.3
780.0	13.3
780.4	13.4
780.9	13.0
781.3	12.9
781.7	12.8
782.2	12.7
782.6	12.3
783.0	12.3
783.5	12.1
783.9	11.9
784.3	12.4
784.7	12.2
785.2	12.1
785.6	12.0
786.0	11.8
786.5	11.7
786.9	11.6
787.3	11.5
787.8	12.4
788.2	12.1
788.6	11.8
789.1	11.6
789.5	11.5
789.9	11.7
790.3	11.9
790.8	12.2
791.2	13.7
791.6	13.1
792.1	12.3
792.5	11.6
792.9	11.5
793.4	12.0
793.8	12.9
794.2	13.3
794.7	15.9
795.1	14.4
795.5	12.4
795.9	11.7
796.4	11.6
796.8	12.1
797.2	11.7
797.7	11.4
798.1	12.3
798.5	13.0
799.0	13.1
799.4	12.8
799.8	11.7
800.2	11.4
800.7	12.0
801.1	12.7
801.5	12.7
802.0	13.1
802.4	13.5
802.8	13.9
803.3	13.9
803.7	14.0
804.1	14.0
804.6	13.6
805.0	12.9
805.4	13.0
805.8	13.0
806.3	12.2
806.7	11.4
807.1	11.7
807.6	12.9
808.0	13.9
808.4	16.1
808.9	15.4
809.3	14.6
809.7	13.8
810.2	13.2
810.6	13.3
811.0	13.6
811.4	13.8
811.9	15.3
812.3	14.7
812.7	14.2
813.2	13.6
813.6	13.5
814.0	13.7
814.5	14.1
814.9	14.5
815.3	13.9
815.8	13.5
816.2	12.8
816.6	12.7
817.0	12.6
817.5	12.4
817.9	13.1
818.3	13.0
818.8	13.6
819.2	13.6
819.6	13.5
820.1	13.5
820.5	13.4
820.9	13.4
821.3	13.3
821.8	13.3
822.2	17.1
822.6	17.0
823.1	17.2
823.5	16.8
823.9	17.3
824.4	16.8
824.8	16.6
825.2	16.5
825.7	16.9
826.1	16.9
826.5	15.0
826.9	14.6
827.4	13.6
827.8	13.2
828.2	12.8
828.7	12.8
829.1	11.1
829.5	11.1
830.0	11.1
830.4	11.2
830.8	11.2
831.3	11.2
831.7	11.3
832.1	11.3
832.5	13.1
833.0	12.7
833.4	12.2
833.8	11.8
834.3	11.9
834.7	12.2
835.1	12.6
835.6	13.0
836.0	13.3
836.4	13.3
836.8	13.3
837.3	13.2
837.7	12.8
838.1	12.8
838.6	12.7
839.0	12.7
839.4	11.4
839.9	11.4
840.3	11.2
840.7	11.5
841.2	11.5
841.6	11.9
842.0	11.9
842.4	11.9
842.9	12.6
843.3	12.4
843.7	12.1
844.2	11.9
844.6	11.7
845.0	11.8
845.5	12.1
845.9	12.2
846.3	12.2
846.8	12.2
847.2	12.5
847.6	12.6
848.0	13.0
848.5	12.8
848.9	13.1
849.3	13.1
849.8	13.3
850.2	12.7
850.6	12.2
851.1	12.1
851.5	12.1
851.9	12.2
852.3	12.6
852.8	13.1
853.2	13.6
853.6	13.5
854.1	13.1
854.5	13.0
854.9	13.0
855.4	12.5
855.8	12.5
856.2	12.5
856.7	13.7
857.1	13.1
857.5	12.0
857.9	11.2
858.4	10.7
858.8	11.1
859.2	11.4
859.7	11.9
860.1	12.6
860.5	12.6
861.0	12.5
861.4	12.5
861.8	12.7
862.3	12.7
862.7	12.9
863.1	12.9
863.5	13.5
864.0	13.1
864.4	12.4
864.8	12.0
865.3	11.8
865.7	11.8
866.1	12.2
866.6	12.2
867.0	13.0
867.4	13.0
867.9	12.8
868.3	12.6
868.7	12.7
869.1	12.5
869.6	12.3
870.0	12.3
870.4	13.3
870.9	12.9
871.3	12.4
871.7	12.1
872.2	12.0
872.6	12.3
873.0	12.8
873.4	13.2
873.9	12.3
874.3	12.2
874.7	12.1
875.2	12.1
875.6	12.0
876.0	12.1
876.5	12.2
876.9	12.3
877.3	14.0
877.8	13.5
878.2	12.9
878.6	12.2
879.0	12.0
879.5	11.9
879.9	11.9
880.3	12.1
880.8	12.5
881.2	12.5
881.6	12.5
882.1	12.4
882.5	12.4
882.9	12.3
883.4	12.3
883.8	12.2
884.2	14.2
884.6	13.8
885.1	13.5
885.5	12.9
885.9	12.8
886.4	13.2
886.8	13.1
887.2	13.6
887.7	13.7
888.1	13.4
888.5	13.1
888.9	12.7
889.4	12.6
889.8	12.7
890.2	13.0
890.7	13.2
891.1	18.1
891.5	17.9
892.0	16.8
892.4	16.2
892.8	15.7
893.3	16.2
893.7	16.5
894.1	16.7
894.5	14.6
895.0	14.0
895.4	13.2
895.8	12.7
896.3	12.4
896.7	12.8
897.1	13.3
897.6	13.8
898.0	11.8
898.4	11.8
898.9	11.7
899.3	11.7
899.7	11.3
900.1	11.4
900.6	12.0
901.0	12.0
901.4	13.0
901.9	13.0
902.3	13.6
902.7	13.6
903.2	14.2
903.6	14.2
904.0	14.6
904.4	14.6
904.9	13.9
905.3	13.9
905.7	13.1
906.2	12.7
906.6	12.3
907.0	11.8
907.5	11.6
907.9	11.5
908.3	11.1
908.8	11.2
909.2	11.2
909.6	11.1
910.0	12.1
910.5	12.6
910.9	12.9
911.3	13.0
911.8	16.1
912.2	15.5
912.6	14.6
913.1	13.9
913.5	13.0
913.9	12.7
914.4	12.3
914.8	12.2
915.2	13.7
915.6	13.1
916.1	12.4
916.5	11.8
916.9	11.6
917.4	12.1
917.8	12.6
918.2	13.1
918.7	13.9
919.1	13.9
919.5	14.0
920.0	14.0
920.4	14.3
920.8	14.3
921.2	14.8
921.7	14.8
922.1	14.3
922.5	14.3
923.0	14.3
923.4	14.5
923.8	14.4
924.3	14.4
924.7	14.7
925.1	14.8
===END===
