Spectrometer
Copyright © Kvant 2018. All rights reserved.

Date: Monday, March 16, 2026 10:56:54 AM
Source image name: .bmp
Source image [pixels]: 1280 x 720
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 360 - 380

Spectrum range [nm]: 366.5 - 939.7

Chart Points:

Wave Length [nm]	Intensity [a.u.]
503.7	19.0
504.1	19.0
504.5	18.1
504.9	18.0
505.3	17.8
505.8	18.1
506.2	18.1
506.6	18.7
507.0	19.2
507.4	19.5
507.9	21.1
508.3	20.6
508.7	20.6
509.1	19.7
509.5	20.7
510.0	21.3
510.4	22.9
510.8	23.1
511.2	24.1
511.6	24.0
512.1	22.4
512.5	22.1
512.9	20.4
513.3	19.8
513.7	18.8
514.2	18.7
514.6	16.5
515.0	16.3
515.4	16.2
515.9	16.1
516.3	16.7
516.7	16.9
517.1	18.2
517.5	18.4
518.0	19.8
518.4	19.7
518.8	21.3
519.2	21.2
519.7	23.0
520.1	23.2
520.5	24.3
520.9	24.4
521.4	19.9
521.8	19.8
522.2	19.0
522.6	18.9
523.0	17.8
523.5	17.5
523.9	17.3
524.3	17.0
524.7	18.8
525.2	18.0
525.6	19.0
526.0	18.3
526.4	20.1
526.9	20.8
527.3	22.9
527.7	23.7
528.1	20.5
528.6	20.5
529.0	20.7
529.4	20.6
529.8	21.0
530.3	20.9
530.7	20.9
531.1	20.9
531.6	20.5
532.0	20.5
532.4	20.0
532.8	20.0
533.3	19.1
533.7	19.1
534.1	18.4
534.5	18.5
535.0	20.1
535.4	20.0
535.8	20.4
536.2	20.0
536.7	21.0
537.1	21.4
537.5	22.8
538.0	22.8
538.4	23.5
538.8	23.4
539.2	22.3
539.7	22.2
540.1	20.5
540.5	20.3
540.9	19.3
541.4	19.3
541.8	18.2
542.2	18.3
542.7	18.6
543.1	18.7
543.5	18.5
544.0	18.1
544.4	17.6
544.8	17.5
545.2	17.1
545.7	17.2
546.1	17.5
546.5	17.9
547.0	18.0
547.4	18.3
547.8	18.3
548.2	18.5
548.7	16.9
549.1	16.8
549.5	17.8
550.0	17.6
550.4	19.1
550.8	18.9
551.3	20.0
551.7	19.8
552.1	21.7
552.6	21.1
553.0	19.4
553.4	18.7
553.8	16.9
554.3	17.2
554.7	16.8
555.1	17.2
555.6	19.3
556.0	18.9
556.4	17.4
556.9	17.3
557.3	16.2
557.7	16.2
558.2	16.5
558.6	16.8
559.0	16.7
559.5	16.8
559.9	18.6
560.3	18.7
560.8	21.1
561.2	21.4
561.6	23.3
562.1	23.3
562.5	25.8
562.9	25.7
563.4	25.1
563.8	24.9
564.2	23.8
564.7	23.8
565.1	22.6
565.5	22.6
566.0	21.0
566.4	20.8
566.8	19.5
567.3	19.3
567.7	18.9
568.2	19.4
568.6	19.6
569.0	20.0
569.5	19.0
569.9	18.8
570.3	18.2
570.8	17.8
571.2	18.1
571.6	18.2
572.1	19.4
572.5	19.6
572.9	20.3
573.4	20.2
573.8	21.2
574.3	21.1
574.7	21.6
575.1	21.5
575.6	22.0
576.0	22.0
576.4	18.0
576.9	18.0
577.3	17.7
577.7	17.9
578.2	17.3
578.6	17.3
579.1	16.7
579.5	16.8
579.9	16.5
580.4	16.5
580.8	15.9
581.3	15.9
581.7	15.7
582.1	15.8
582.6	15.9
583.0	16.0
583.4	18.6
583.9	18.5
584.3	18.2
584.8	18.3
585.2	18.7
585.6	19.0
586.1	20.0
586.5	20.1
587.0	23.9
587.4	23.9
587.8	27.0
588.3	27.4
588.7	30.2
589.2	30.4
589.6	33.1
590.0	33.2
590.5	40.1
590.9	40.8
591.4	42.8
591.8	43.7
592.2	47.7
592.7	48.7
593.1	52.3
593.6	52.4
594.0	58.2
594.4	58.2
594.9	62.4
595.3	63.2
595.8	66.6
596.2	67.7
596.7	70.5
597.1	71.0
597.5	76.6
598.0	77.5
598.4	80.7
598.9	81.8
599.3	87.1
599.8	88.2
600.2	94.6
600.6	95.3
601.1	101.7
601.5	102.7
602.0	109.6
602.4	110.6
602.9	115.6
603.3	116.4
603.7	119.2
604.2	119.9
604.6	131.4
605.1	131.7
605.5	132.8
606.0	133.6
606.4	136.2
606.8	136.9
607.3	139.4
607.7	139.8
608.2	142.4
608.6	143.3
609.1	146.2
609.5	146.6
610.0	148.0
610.4	148.6
610.9	150.5
611.3	151.8
611.7	156.9
612.2	156.6
612.6	156.5
613.1	156.3
613.5	156.8
614.0	157.1
614.4	157.6
614.9	157.8
615.3	158.4
615.8	158.6
616.2	159.3
616.6	159.9
617.1	160.5
617.5	160.6
618.0	161.3
618.4	161.4
618.9	162.2
619.3	161.8
619.8	161.1
620.2	160.6
620.7	159.2
621.1	159.2
621.6	158.4
622.0	158.7
622.5	156.9
622.9	156.4
623.4	154.5
623.8	153.3
624.3	151.4
624.7	150.8
625.2	150.8
625.6	150.9
626.1	149.4
626.5	149.0
627.0	147.1
627.4	146.5
627.9	144.1
628.3	143.3
628.7	141.7
629.2	141.5
629.6	138.7
630.1	139.0
630.5	137.0
631.0	136.8
631.4	135.1
631.9	134.1
632.3	131.9
632.8	131.3
633.3	126.9
633.7	126.2
634.2	124.4
634.6	124.0
635.1	121.4
635.5	120.6
636.0	117.2
636.4	115.9
636.9	113.4
637.3	112.8
637.8	110.1
638.2	109.1
638.7	107.1
639.1	106.4
639.6	104.7
640.0	104.2
640.5	100.3
640.9	99.6
641.4	98.5
641.8	98.8
642.3	97.3
642.7	97.7
643.2	94.9
643.6	94.2
644.1	90.2
644.5	89.9
645.0	87.2
645.5	86.5
645.9	84.0
646.4	83.1
646.8	81.8
647.3	81.2
647.7	77.3
648.2	77.3
648.6	75.6
649.1	75.3
649.5	73.4
650.0	73.3
650.5	70.7
650.9	70.6
651.4	67.1
651.8	67.0
652.3	64.7
652.7	64.6
653.2	62.9
653.6	63.1
654.1	62.5
654.5	62.8
655.0	58.2
655.5	57.4
655.9	55.7
656.4	54.7
656.8	53.4
657.3	52.9
657.7	51.6
658.2	51.6
658.7	50.6
659.1	50.0
659.6	47.4
660.0	46.8
660.5	44.7
660.9	44.9
661.4	44.4
661.9	44.8
662.3	42.7
662.8	42.3
663.2	41.8
663.7	41.4
664.1	39.7
664.6	39.3
665.1	37.6
665.5	37.3
666.0	35.8
666.4	35.6
666.9	34.2
667.3	34.0
667.8	32.3
668.3	32.2
668.7	31.6
669.2	31.6
669.6	30.2
670.1	29.8
670.6	28.9
671.0	28.4
671.5	27.4
671.9	27.4
672.4	26.2
672.9	26.4
673.3	26.1
673.8	25.8
674.2	25.1
674.7	24.5
675.2	24.5
675.6	24.4
676.1	25.0
676.5	25.1
677.0	24.0
677.5	23.9
677.9	23.6
678.4	23.5
678.8	22.5
679.3	22.5
679.8	22.5
680.2	22.6
680.7	22.8
681.2	22.8
681.6	21.9
682.1	22.0
682.5	21.8
683.0	21.2
683.5	20.6
683.9	20.1
684.4	19.1
684.8	18.7
685.3	18.2
685.8	17.7
686.2	17.2
686.7	17.5
687.2	18.3
687.6	18.3
688.1	19.3
688.6	19.2
689.0	18.8
689.5	18.6
689.9	19.1
690.4	18.7
690.9	18.4
691.3	18.2
691.8	16.4
692.3	16.3
692.7	16.3
693.2	16.2
693.7	17.0
694.1	16.8
694.6	18.4
695.1	18.3
695.5	19.0
696.0	19.4
696.4	20.1
696.9	20.3
697.4	21.0
697.8	20.8
698.3	20.4
698.8	20.3
699.2	22.2
699.7	22.2
700.2	22.0
700.6	21.9
701.1	21.5
701.6	21.4
702.0	21.0
702.5	21.0
703.0	21.1
703.4	21.1
703.9	20.7
704.4	20.6
704.8	20.5
705.3	20.6
705.8	20.8
706.2	20.8
706.7	19.2
707.2	19.0
707.6	19.0
708.1	18.8
708.6	18.9
709.0	18.9
709.5	19.2
710.0	19.3
710.5	19.1
710.9	18.8
711.4	19.0
711.9	18.7
712.3	18.8
712.8	19.1
713.3	19.4
713.7	19.7
714.2	23.1
714.7	22.9
715.1	22.2
715.6	22.0
716.1	21.0
716.5	21.0
717.0	20.3
717.5	20.2
718.0	18.9
718.4	18.9
718.9	17.5
719.4	17.5
719.8	16.9
720.3	16.9
720.8	16.8
721.3	16.8
721.7	17.1
722.2	17.1
722.7	17.1
723.1	16.7
723.6	16.9
724.1	16.9
724.6	16.5
725.0	16.6
725.5	16.5
726.0	16.5
726.4	17.0
726.9	17.2
727.4	17.3
727.9	17.6
728.3	17.8
728.8	17.9
729.3	21.5
729.7	21.2
730.2	20.9
730.7	20.3
731.2	20.7
731.6	21.1
732.1	22.2
732.6	22.3
733.1	22.1
733.5	22.1
734.0	19.0
734.5	18.6
735.0	16.3
735.4	16.2
735.9	15.9
736.4	16.0
736.8	15.5
737.3	15.4
737.8	15.6
738.3	15.3
738.7	15.4
739.2	15.5
739.7	15.4
740.2	15.5
740.6	16.9
741.1	16.7
741.6	16.6
742.1	16.5
742.5	17.2
743.0	17.7
743.5	18.7
744.0	19.0
744.5	21.7
744.9	21.3
745.4	20.5
745.9	20.0
746.4	20.3
746.8	20.3
747.3	20.6
747.8	20.6
748.3	20.3
748.7	20.3
749.2	19.7
749.7	19.7
750.2	19.1
750.6	19.0
751.1	18.5
751.6	18.5
752.1	17.3
752.6	17.2
753.0	17.0
753.5	17.0
754.0	17.6
754.5	17.5
754.9	18.4
755.4	18.5
755.9	20.6
756.4	20.8
756.9	22.3
757.3	21.7
757.8	22.4
758.3	22.5
758.8	24.0
759.3	24.9
759.7	21.8
760.2	21.8
760.7	21.6
761.2	21.6
761.7	21.2
762.1	21.4
762.6	20.7
763.1	20.7
763.6	21.0
764.1	20.8
764.5	20.0
765.0	19.6
765.5	18.9
766.0	18.6
766.5	18.4
766.9	18.2
767.4	19.4
767.9	19.4
768.4	19.6
768.9	19.5
769.3	19.7
769.8	19.7
770.3	19.5
770.8	19.5
771.3	19.8
771.8	19.8
772.2	20.3
772.7	20.4
773.2	20.8
773.7	20.9
774.2	21.0
774.7	21.0
775.1	23.4
775.6	23.5
776.1	24.4
776.6	23.9
777.1	24.6
777.5	24.7
778.0	24.5
778.5	24.6
779.0	23.7
779.5	23.2
780.0	20.4
780.5	20.1
780.9	17.7
781.4	17.8
781.9	16.9
782.4	17.2
782.9	14.8
783.4	14.8
783.8	14.8
784.3	14.7
784.8	14.5
785.3	14.5
785.8	14.8
786.3	14.9
786.8	16.0
787.2	15.8
787.7	15.8
788.2	15.0
788.7	15.2
789.2	15.4
789.7	15.5
790.2	15.7
790.6	17.6
791.1	17.6
791.6	17.0
792.1	16.7
792.6	16.0
793.1	15.6
793.6	15.3
794.0	15.1
794.5	15.5
795.0	16.2
795.5	17.8
796.0	18.4
796.5	19.3
797.0	19.1
797.5	19.0
797.9	18.4
798.4	19.6
798.9	19.7
799.4	19.7
799.9	19.8
800.4	19.5
800.9	19.4
801.4	18.8
801.8	18.8
802.3	18.0
802.8	18.0
803.3	17.6
803.8	17.7
804.3	17.6
804.8	18.0
805.3	18.6
805.8	19.0
806.3	21.8
806.7	21.6
807.2	21.0
807.7	20.9
808.2	20.3
808.7	20.1
809.2	19.8
809.7	19.6
810.2	20.0
810.7	19.5
811.2	19.0
811.6	18.9
812.1	19.2
812.6	19.5
813.1	19.5
813.6	19.7
814.1	20.2
814.6	20.1
815.1	20.1
815.6	19.7
816.1	19.5
816.6	19.5
817.0	19.5
817.5	19.6
818.0	20.1
818.5	20.0
819.0	20.1
819.5	20.1
820.0	20.7
820.5	21.1
821.0	21.5
821.5	21.9
822.0	21.4
822.5	21.2
823.0	21.4
823.5	21.1
823.9	21.5
824.4	21.6
824.9	22.1
825.4	22.1
825.9	21.2
826.4	21.1
826.9	18.8
827.4	18.3
827.9	16.5
828.4	16.3
828.9	15.3
829.4	15.1
829.9	13.5
830.4	13.5
830.9	13.6
831.4	13.8
831.9	14.2
832.3	14.5
832.8	15.1
833.3	15.1
833.8	17.9
834.3	17.6
834.8	18.1
835.3	17.9
835.8	18.8
836.3	18.8
836.8	19.7
837.3	20.0
837.8	22.1
838.3	21.6
838.8	20.9
839.3	20.4
839.8	19.9
840.3	19.8
840.8	19.9
841.3	19.9
841.8	20.0
842.3	19.7
842.8	19.5
843.3	19.3
843.8	19.4
844.3	19.6
844.8	20.1
845.3	20.4
845.8	22.5
846.3	22.2
846.8	21.9
847.2	21.8
847.7	21.1
848.2	21.2
848.7	20.7
849.2	20.8
849.7	20.8
850.2	20.8
850.7	20.3
851.2	20.3
851.7	20.0
852.2	20.0
852.7	19.5
853.2	19.5
853.7	19.3
854.2	19.2
854.7	19.0
855.2	18.8
855.7	19.4
856.2	19.2
856.7	19.8
857.2	19.9
857.7	21.4
858.2	21.4
858.7	22.1
859.2	21.8
859.7	22.2
860.2	22.0
860.7	22.1
861.2	22.0
861.7	20.4
862.2	20.3
862.7	21.5
863.3	21.5
863.8	22.5
864.3	22.5
864.8	24.2
865.3	24.3
865.8	24.7
866.3	24.7
866.8	23.5
867.3	23.3
867.8	22.8
868.3	22.9
868.8	21.5
869.3	21.6
869.8	20.8
870.3	20.6
870.8	20.2
871.3	19.8
871.8	18.9
872.3	19.1
872.8	19.6
873.3	19.8
873.8	19.0
874.3	18.8
874.8	17.9
875.3	17.8
875.8	17.8
876.3	18.3
876.8	18.5
877.3	18.9
877.8	18.0
878.4	18.0
878.9	17.7
879.4	17.5
879.9	17.7
880.4	17.5
880.9	17.9
881.4	17.8
881.9	20.9
882.4	20.9
882.9	22.9
883.4	22.5
883.9	24.2
884.4	25.0
884.9	26.9
885.4	26.9
885.9	23.4
886.4	22.8
887.0	21.2
887.5	20.5
888.0	18.4
888.5	18.7
889.0	17.4
889.5	17.9
890.0	16.9
890.5	16.9
891.0	17.3
891.5	17.3
892.0	18.5
892.5	18.6
893.0	19.7
893.5	19.7
894.1	22.1
894.6	22.0
895.1	22.0
895.6	22.0
896.1	22.5
896.6	22.5
897.1	23.4
897.6	23.4
898.1	24.6
898.6	24.5
899.1	24.9
899.7	24.3
900.2	25.1
900.7	25.9
901.2	27.1
901.7	27.3
902.2	22.1
902.7	22.0
903.2	20.2
903.7	19.8
904.2	17.4
904.8	17.3
905.3	16.5
905.8	16.4
906.3	18.1
906.8	17.5
907.3	17.9
907.8	17.7
908.3	18.7
908.8	18.4
909.3	18.9
909.9	18.5
910.4	17.0
910.9	17.0
911.4	17.3
911.9	17.3
912.4	18.2
912.9	18.6
913.4	18.8
914.0	18.8
914.5	19.0
915.0	19.1
915.5	20.6
916.0	20.7
916.5	21.6
917.0	21.9
917.5	22.2
918.1	22.4
918.6	21.2
919.1	21.1
919.6	20.5
920.1	20.1
920.6	18.8
921.1	18.6
921.7	17.3
922.2	17.2
922.7	18.2
923.2	18.3
923.7	17.7
924.2	17.9
924.7	17.6
925.3	17.8
925.8	17.8
926.3	17.8
926.8	20.4
927.3	19.6
927.8	18.7
928.3	17.7
928.9	17.5
929.4	17.6
929.9	17.6
930.4	17.8
930.9	18.4
931.4	19.0
932.0	19.8
932.5	19.6
933.0	19.4
933.5	18.9
934.0	18.9
934.5	18.8
935.0	19.3
935.6	19.7
936.1	19.7
936.6	20.1
937.1	19.5
937.6	19.2
938.2	19.0
938.7	18.8
939.2	19.1
939.7	19.0
===END===
